record,name,cpf,birthday,Gluconise,Adrino_posina,Gamma_R,Nitro_K,H278,Plate,Factor_risk,norm_gamma_type,Blood_type,Blood_Rh,Low_Risk,Medium_Risk,High_Risk
89256,Bryan Cardoso,83619570221,2006-11-14,916.6484,Uncovered,2,3.07,5749.42,DD,5,1,AB,+,True,False,False
72173,Sr. Vicente Lima,30861597230,2013-11-22,988.7466,Clinical Done,5,2.53,285.18,,2,1,O,+,True,False,False
95816,Otávio da Rosa,89532614737,2008-10-23,572.7608,Uncovered,4,3.3,8000.08,X,5,1,O,-,True,False,False
44566,Alícia da Cruz,53027691406,2011-07-25,1328.0542,Clinical Done,5,3.07,5737.5,DD,5,1,AB,-,False,True,True
31019,Maysa Novaes,53817096259,2021-06-25,641.3129,Clinical Done,3,3.05,5476.12,B,5,1,,+,False,True,True
84434,Dra. Isadora Viana,18702536471,2022-09-05,831.6505,Uncovered,3,2.9,4032.27,B,4,0,B,+,True,False,False
33867,Lívia Fogaça,76245183928,2008-11-01,1100.5763,,4,2.73,2312.21,X,4,1,AB,+,True,False,False
80232,Antônio Moreira,40861729331,2011-09-14,750.9424,Uncovered,6,3.47,9679.17,X,5,1,A,+,True,False,False
44295,Gabrielly Nascimento,81370459297,2016-08-10,788.4096,Uncovered,8,2.86,3584.32,B,4,1,A,+,False,True,False
53922,Marcela da Cunha,71392504805,2016-08-25,818.1985,Capsuled,5,2.81,3126.24,A,4,1,A,-,True,False,False
33201,Camila Duarte,80391745204,2020-09-09,1110.2908,Uncovered,1,3.47,9728.22,B,5,1,O,+,False,True,False
43595,Antônio da Luz,5314296870,2003-04-29,1458.4416,Capsuled,6,3.25,7554.49,X,5,1,B,+,False,True,False
35541,Sr. Daniel Silva,61942357800,2006-08-21,1008.3079,Uncovered,3,2.64,1467.9,CS,3,0,AB,+,True,False,False
70703,Isabelly Silva,13509728602,2004-07-23,776.4149,Uncovered,6,3.22,7229.29,DD,5,0,,-,False,True,False
11071,Maria Eduarda da Mata,40957832141,2006-06-27,1107.8117,Covered,2,2.7,2061.3,CS,4,0,O,+,False,True,False
32031,Vitória Peixoto,6819237413,2016-06-15,880.7681,Clinical Done,3,4.04,15409.27,DD,6,0,B,+,False,True,False
51930,Dra. Sophie Moreira,5283471608,2012-04-29,996.1739,,7,4.42,19262.29,X,7,0,O,+,True,False,False
72084,Isabella Moreira,40971658285,2018-11-26,1235.0002,Clinical Done,3,3.18,6839.37,CS,5,0,A,+,False,True,True
41084,Bruna Nunes,84391207613,2013-06-03,850.4258,,4,4.37,18767.05,,7,1,O,+,False,True,True
85620,Dra. Letícia Souza,38145907241,2014-04-01,1001.8051,Clinical Done,7,2.58,852.46,X,3,1,AB,+,False,True,False
51879,Luigi Freitas,80194527379,2007-01-04,824.3784,Capsuled,7,3.2,7059.45,DD,5,0,A,+,False,True,False
21418,Lívia Silva,27854601976,2014-05-14,968.7132,Uncovered,7,2.57,697.65,X,3,0,O,+,True,False,False
95083,Dr. Lucas Gabriel Monteiro,69508234105,2011-09-10,1051.3141,,2,3.06,5610.8,DD,5,1,O,-,False,True,True
60966,Rebeca Ramos,15240896305,2017-08-14,802.2442,Clinical Done,1,2.6,1037.63,,3,1,O,+,True,False,False
8170,Mirella das Neves,51972638491,2010-08-21,932.2356,Capsuled,2,2.64,1382.53,DD,3,1,B,+,True,False,False
15905,Sr. Paulo Fogaça,46519823015,2019-02-21,952.7632,Covered,4,3.41,9104.37,B,5,1,O,+,False,True,False
20026,Gabriela Jesus,20513869433,2016-08-06,872.469,Uncovered,4,2.76,2584.49,A,4,0,B,+,False,True,True
86908,Dra. Maria Eduarda Silveira,97864532047,2009-11-06,762.4775,Covered,6,2.61,1153.58,DD,3,1,AB,+,True,False,False
16639,Milena Oliveira,23761890478,2000-04-19,715.7566,Clinical Done,3,2.75,2511.04,CS,4,1,,-,False,True,True
56643,Thomas da Rocha,46827159337,2005-02-22,969.301,Capsuled,3,2.93,4327.66,CS,4,1,B,+,True,False,False
91438,Maitê Moreira,82315607930,2007-02-01,946.1886,Clinical Done,3,3.13,6329.62,DD,5,1,O,+,True,False,False
40390,Mariane Cardoso,6248391505,2017-09-15,1446.2734,Clinical Done,7,2.73,2275.75,CS,4,1,B,+,False,True,False
93395,Sr. Diogo Cavalcanti,47850162994,2017-12-28,513.0465,Uncovered,4,3.52,10250.32,DD,6,0,O,-,True,False,False
55417,Murilo Barros,37628945155,2002-01-12,1022.5453,Uncovered,7,3.16,6620.97,,5,1,B,+,True,False,False
16415,Nicolas Dias,89674123555,2023-04-19,1074.0889,Clinical Done,7,3.2,7059.26,DD,5,0,O,-,True,False,False
19694,Ana Lívia Silveira,32058174941,2003-09-18,1271.9268,Covered,2,2.99,4914.65,X,5,1,B,+,False,True,False
12420,Gabriel Farias,56729481030,2014-10-05,1100.3714,Clinical Done,7,4.08,15803.71,DD,6,0,O,+,False,True,False
51930,Benício Pereira,58906472374,2003-03-30,831.1573,,3,3.37,8697.61,B,5,1,AB,+,True,False,False
19775,Srta. Ana Carolina Moreira,97328401613,2005-01-03,1000.002,Covered,9,2.68,1793.44,X,3,0,O,+,True,False,False
30257,Sr. Felipe Araújo,84150362998,2004-05-30,1108.4705,Covered,7,3.71,12087.34,DD,6,1,AB,+,True,False,False
14119,Carlos Eduardo Campos,25180397405,2008-12-01,937.2984,Clinical Done,3,5.84,33419.12,CS,8,0,AB,+,True,False,False
30719,Augusto Aragão,46159307800,2015-03-29,1154.2023,Covered,7,3.19,6954.14,,5,1,O,-,True,False,False
60334,Dr. Cauê da Cruz,96305184739,2015-02-21,626.3819,Uncovered,7,4.7,22051.71,B,7,0,AB,-,False,True,False
39560,Srta. Manuela Almeida,35617428900,2007-08-14,1346.2369,Capsuled,8,2.92,4202.13,A,4,0,O,-,False,True,False
94642,Maria Sophia Barbosa,71948230631,2012-12-21,1293.5356,Uncovered,5,3.34,8396.0,B,5,1,AB,-,True,False,False
65005,Davi Lucas Azevedo,64390721534,2020-05-23,932.8645,Clinical Done,3,3.06,5600.73,,5,0,AB,-,False,True,False
30441,João Felipe Correia,67398514093,2002-08-06,1122.2682,Capsuled,2,3.07,5762.77,B,5,0,AB,+,False,True,False
78216,Joaquim Rodrigues,60429783574,2013-12-18,1009.5941,Uncovered,6,4.0,15008.59,B,6,1,A,+,False,True,False
27383,Henrique Porto,71629058386,2023-05-13,834.1729,Uncovered,9,3.27,7692.68,DD,5,1,AB,+,True,False,False
91537,Stella Barbosa,70429615361,2012-12-31,1017.542,Covered,7,5.57,30757.76,DD,8,1,,-,False,True,False
99222,Vitor Gabriel Nunes,82916340769,2016-07-25,1200.0732,Clinical Done,6,3.29,7879.69,X,5,0,AB,+,True,False,False
31226,Rafaela da Costa,32841975088,2006-09-07,923.7815,Covered,2,2.59,879.11,CS,3,0,O,+,False,True,False
75637,Clarice Carvalho,85403217932,2002-12-18,924.8661,Uncovered,3,2.96,4584.97,,4,1,B,+,False,True,False
36425,Nina Lopes,62451093706,2019-07-26,985.1058,Clinical Done,4,4.4,19050.56,B,7,0,B,-,True,False,False
26297,Antônio Porto,86531742909,2014-11-21,1086.6993,Capsuled,8,3.02,5235.89,X,5,1,O,-,True,False,False
22377,Luiz Henrique Novaes,74096253170,2016-12-30,1255.6758,Clinical Done,4,2.53,298.29,X,2,1,O,+,False,True,False
33134,Maitê Martins,73014856975,2013-03-11,873.0641,Capsuled,3,2.78,2861.75,X,4,0,,+,False,True,False
71420,Joaquim Ferreira,41082367508,2008-12-13,1101.6792,Capsuled,3,2.57,717.55,DD,3,0,AB,+,False,True,False
53722,Otávio Peixoto,38542709179,2002-12-29,1043.2232,Clinical Done,2,7.59,50938.8,DD,9,1,AB,+,True,False,False
18878,Alexia Cunha,80792163478,2022-08-15,628.2775,Covered,3,6.03,35283.41,,8,0,AB,+,True,False,False
35923,Ana Carolina Fernandes,90851372686,2015-07-09,916.1367,Covered,4,4.11,16129.81,CS,6,0,,+,True,False,False
65632,Cauê da Cruz,70234986131,2011-07-29,973.5342,Clinical Done,4,3.42,9230.94,CS,5,1,B,+,True,False,False
45856,Caio Ramos,58706492347,2005-11-06,992.086,Uncovered,9,3.95,14502.49,DD,6,1,AB,+,True,False,False
87538,Daniela Silva,49158370684,2007-01-13,1065.2007,Uncovered,5,2.69,1876.47,X,3,0,,-,True,False,False
23432,Srta. Elisa Dias,87164905339,2005-11-11,591.9354,,3,2.85,3490.07,B,4,0,B,+,True,False,False
22092,Sra. Ana Julia Fernandes,6128973469,2018-02-21,1009.2511,Covered,7,3.24,7447.28,,5,0,,-,False,True,True
7306,Nicolas Dias,39167028403,2016-12-24,864.4649,Covered,2,2.94,4432.76,B,4,1,O,+,False,True,True
43816,Vitória Moreira,90645837148,2007-09-05,712.1122,Capsuled,6,2.55,490.05,DD,2,0,O,+,False,True,True
30754,Rodrigo Pereira,42758136007,2019-08-01,1104.8593,Uncovered,3,6.58,40858.59,DD,8,0,O,+,False,True,True
38204,Luiz Miguel Almeida,62093471507,2014-09-19,1147.0559,Clinical Done,5,3.08,5844.91,B,5,0,AB,-,True,False,False
34441,Arthur Nogueira,90647812304,2015-11-13,869.3499,,2,3.2,7034.3,B,5,0,AB,+,False,True,True
88822,Bruna Correia,8625349765,2013-12-27,1168.4913,Clinical Done,3,2.89,3931.34,B,4,1,B,+,True,False,False
14309,Rebeca Carvalho,89024537150,2019-12-27,923.6967,Capsuled,8,2.8,3030.1,B,4,0,O,-,False,True,False
29510,Calebe Castro,53204687929,2009-02-18,1013.2978,,5,2.99,4914.61,,5,0,O,+,True,False,False
56406,Diego Dias,17360428580,2021-12-09,780.2522,Covered,8,4.28,17861.42,B,7,1,O,+,False,True,True
80326,Enrico Araújo,90628357168,2014-08-20,1316.8974,Uncovered,6,3.83,13368.9,X,6,1,A,+,True,False,False
90131,Natália Rezende,67198345255,2017-09-02,468.1101,,6,2.98,4790.13,DD,5,1,AB,+,False,True,True
11320,Gabriela Teixeira,25347019832,2011-04-17,981.7095,Clinical Done,6,2.51,153.53,X,2,0,O,-,True,False,False
3538,Isis da Rosa,1692487558,2003-04-23,1139.0239,Uncovered,3,4.1,15987.96,B,6,1,A,+,False,True,False
40321,Sophie da Rocha,24538967173,2004-07-15,593.3067,Capsuled,6,2.81,3161.24,A,4,1,O,+,True,False,False
37188,Sra. Lara Silva,86397021440,2011-07-03,962.1061,Uncovered,6,3.37,8761.64,X,5,1,AB,+,False,True,False
87720,Nathan Barros,98756324146,2005-08-14,984.5563,,4,2.53,281.33,A,2,0,O,+,False,True,False
10321,Marcela da Mata,24803915741,2004-04-27,1164.9406,Clinical Done,10,3.59,10875.57,B,6,1,A,-,False,True,False
87494,Rafael Rocha,97530826140,2020-12-29,1249.6426,,7,2.99,4924.95,,5,0,AB,+,False,True,True
48121,Sr. Luiz Henrique Costa,68421795058,2001-02-28,919.2215,Clinical Done,6,3.19,6895.62,B,5,1,A,+,False,True,False
81021,Isabelly Gonçalves,75261490316,2014-10-01,723.0963,Covered,4,3.04,5382.32,DD,5,0,B,+,False,True,False
66021,Sra. Gabriela Aragão,53186027977,2011-08-05,1273.4471,Clinical Done,7,2.93,4343.75,DD,4,0,B,-,True,False,False
82529,Júlia Castro,23495107606,2012-03-20,1243.5771,Clinical Done,5,3.3,8029.33,DD,5,1,O,-,True,False,False
24466,Henrique da Paz,34591027805,2001-09-14,907.5989,Clinical Done,5,6.11,36108.66,A,8,1,AB,+,True,False,False
71130,Alexia Porto,20436851717,2014-03-05,1070.1777,Capsuled,4,2.62,1219.08,X,3,0,AB,+,False,True,False
2903,Juan Rodrigues,27619045325,2006-07-11,1076.3732,Uncovered,3,2.88,3780.47,X,4,1,A,-,False,True,False
92459,Cecília Cardoso,64980175201,2005-05-09,1113.2551,Uncovered,6,2.54,449.46,,2,1,AB,+,True,False,False
67301,Gustavo Henrique Araújo,29380714505,2008-12-30,1040.8416,Uncovered,4,3.84,13431.88,,6,1,A,-,True,False,False
45002,Dr. Thiago Cardoso,48712569011,2006-03-20,1281.3392,Uncovered,7,3.57,10737.7,X,6,0,AB,+,True,False,False
26842,Vitor Gabriel Rodrigues,95462180730,2022-06-18,652.4081,,2,2.74,2438.58,DD,4,1,B,-,False,True,False
15843,Carlos Eduardo Moura,90628371586,2006-11-04,1208.1648,Uncovered,3,3.04,5413.95,CS,5,0,O,+,False,True,False
23515,Raquel Rezende,63897245191,2008-12-18,1076.0944,Covered,6,3.53,10346.31,,6,1,B,+,True,False,False
73440,Vitor Gabriel Monteiro,7928613530,2005-05-24,956.5729,,3,3.58,10854.26,DD,6,0,A,+,False,True,False
81719,Ana Vitória Fernandes,32410569889,2007-07-27,1234.7063,Clinical Done,5,2.69,1891.55,B,3,0,B,+,True,False,False
48848,Cauã Cardoso,60294518711,2020-03-24,,,6,4.63,21363.78,CS,7,0,B,+,True,False,False
21830,Helena Novaes,97842136564,2016-01-16,1232.3043,Uncovered,7,4.01,15073.65,X,6,0,O,-,False,True,True
41674,Ryan Cavalcanti,10459832760,2014-12-04,1077.2156,Uncovered,8,2.64,1460.67,DD,3,0,A,-,True,False,False
22437,Pedro Henrique Ribeiro,57426091830,2008-01-07,773.3733,Uncovered,3,4.53,20341.72,X,7,0,AB,+,True,False,False
11323,Thiago Sales,34082196722,2010-04-28,1086.6185,Uncovered,4,3.88,13836.68,B,6,1,AB,-,False,True,False
47889,João Gabriel Ramos,36501942799,2010-12-22,,Clinical Done,7,4.1,16046.41,,6,0,B,+,False,True,True
62110,João Lucas Fogaça,82049715323,2000-04-09,1517.059,Uncovered,4,3.28,7860.78,,5,0,AB,+,True,False,False
41421,Marcela Rocha,27650418901,2004-04-07,1367.0665,Covered,3,2.75,2517.86,DD,4,1,AB,+,False,True,True
15386,Dra. Yasmin Peixoto,38651074271,2022-11-18,1088.138,Covered,5,5.01,25088.95,,7,1,A,+,True,False,False
